cluster_id,R_eta,n_pairs,tokens_en
globalvoices-v2018q4-doc-3b6ab1304327214c,1.0322070145191127,28,734.0
globalvoices-v2018q4-doc-3b6b57e9118d88b3,0.9288210428121464,18,472.0
globalvoices-v2018q4-doc-3d097723e97b66d0,0.930882735697719,38,942.0
globalvoices-v2018q4-doc-3d972c7fd7016d9a,0.9469251295844964,4,164.0
globalvoices-v2018q4-doc-3debb01bfe951bb5,0.9627864706798709,32,860.0
globalvoices-v2018q4-doc-3e35398b26d9a681,0.9540180002597832,29,749.0
globalvoices-v2018q4-doc-3ee0f2bba1577813,1.0866590187130793,12,243.0
globalvoices-v2018q4-doc-40260d93c389bae8,0.8812961519579035,77,1952.0
globalvoices-v2018q4-doc-40566166b7d13f3d,0.8705010191942084,11,379.0
globalvoices-v2018q4-doc-41ddff38449c1f84,0.9970534139134495,46,1023.0
globalvoices-v2018q4-doc-427ec5e53e44627a,0.8339839706631494,14,417.0
globalvoices-v2018q4-doc-435a690aebb30edf,0.9340775566923345,54,1295.0
globalvoices-v2018q4-doc-441c474d01a6551e,0.8900015361383912,27,698.0
globalvoices-v2018q4-doc-482f25b36831ebaa,0.9005865452913384,34,485.0
globalvoices-v2018q4-doc-48edf0b78ee1343c,0.904507730499129,17,485.0
globalvoices-v2018q4-doc-4a5eef5902c64893,0.9484397807429896,27,690.0
globalvoices-v2018q4-doc-4c434691aae010a8,0.9566534341097688,74,1558.0
globalvoices-v2018q4-doc-4d656b07c0207c40,0.9758634997138692,34,967.0
globalvoices-v2018q4-doc-4dcb3ec6bc074ec8,0.8748247256270878,44,1006.0
globalvoices-v2018q4-doc-4fd6a1084d068e8c,1.0341766979383507,45,1385.0
globalvoices-v2018q4-doc-4fe098c1d413f906,0.8878981517101844,32,858.0
globalvoices-v2018q4-doc-50bccbc12d42152d,0.9859266794509597,60,1554.0
globalvoices-v2018q4-doc-53038e697e79f17d,0.934973140519964,31,713.0
globalvoices-v2018q4-doc-531fb76c4d6db323,0.9272866549722698,13,302.0
globalvoices-v2018q4-doc-533a5efbaf3c9282,0.9356853976363432,25,955.0
globalvoices-v2018q4-doc-53578211fdfa562c,0.8536162115180965,4,175.0
globalvoices-v2018q4-doc-53c447815c77b392,0.88076969994118,20,440.0
globalvoices-v2018q4-doc-53db887b3bea8510,0.9531755734605045,45,989.0
globalvoices-v2018q4-doc-55d397f4ff33a1db,0.8507832126196294,19,314.0
globalvoices-v2018q4-doc-57aedbb35b4a913f,0.6873323734327633,1,18.0
globalvoices-v2018q4-doc-57fc39a2b484f989,0.9791510793187242,17,671.0
globalvoices-v2018q4-doc-58b08b5a5e392455,0.9730709018946816,12,284.0
globalvoices-v2018q4-doc-5900eeb54ad06052,1.044257975900667,12,224.0
globalvoices-v2018q4-doc-5b885edab89c7c9f,0.983998433141992,98,2364.0
globalvoices-v2018q4-doc-5bf93d9bd4d0eca4,1.0308445236484423,3,98.0
globalvoices-v2018q4-doc-5c0274121be52196,1.068188544458154,24,759.0
globalvoices-v2018q4-doc-5d26d58c5fd03f8f,0.9918413210049062,22,608.0
globalvoices-v2018q4-doc-5d9dbd5c9b51b864,0.9501109911351875,17,507.0
globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,0.8964955879803733,18,612.0
globalvoices-v2018q4-doc-5e19feac80095ed5,0.8681087603797331,6,217.0
globalvoices-v2018q4-doc-5e896ae104ee2088,0.879273918916945,9,342.0
globalvoices-v2018q4-doc-5f682168af2b4731,0.8555834180739443,22,368.0
globalvoices-v2018q4-doc-5fb9ff3267d7b413,0.8858150380551391,25,805.0
globalvoices-v2018q4-doc-609f61ed718b7d7d,0.9817519577020793,59,1275.0
globalvoices-v2018q4-doc-60eb69859ade4e10,1.0296045488265235,26,554.0
globalvoices-v2018q4-doc-61c9a58a6d1c8bed,0.9530088450463307,28,773.0
globalvoices-v2018q4-doc-6306b1c7ed7a9ffe,0.952817393002929,4,105.0
globalvoices-v2018q4-doc-6323c60c21e5114b,1.0377400331990583,38,586.0
globalvoices-v2018q4-doc-644fc901d03f02ca,0.8790280655759583,28,610.0
globalvoices-v2018q4-doc-646f61c1cafdb1e2,1.0255678315202204,6,234.0
globalvoices-v2018q4-doc-64e3d212f7c01f14,0.9118609227681017,53,884.0
globalvoices-v2018q4-doc-6503b448c2285f8c,0.9307736861809859,15,228.0
globalvoices-v2018q4-doc-65a647d8887c0e7f,1.0621910402352281,17,374.0
globalvoices-v2018q4-doc-664d0b51e06ac9ae,0.9745726667865138,19,580.0
globalvoices-v2018q4-doc-671eea679032a189,0.8816775738632417,33,1003.0
globalvoices-v2018q4-doc-68384deac43ec047,1.1930354882226055,4,154.0
globalvoices-v2018q4-doc-69f8505a48bb9037,0.865533579668865,15,502.0
globalvoices-v2018q4-doc-6b5340ef0c89d631,0.9291653684952416,9,268.0
globalvoices-v2018q4-doc-6b5d743958f924d4,0.9867598599438789,14,317.0
globalvoices-v2018q4-doc-6bb2b822e46328e3,0.9722637956232404,24,498.0
globalvoices-v2018q4-doc-6c1913b4ead2c2ac,0.9824006756795168,15,538.0
globalvoices-v2018q4-doc-6c611440487efdcf,0.910026569577652,39,848.0
globalvoices-v2018q4-doc-6d4e4f1f6a3d4014,0.8693006958658759,37,876.0
globalvoices-v2018q4-doc-6dba240f4d45bc38,0.9654683363325024,58,1228.0
globalvoices-v2018q4-doc-6dfdf059eba22a59,0.896962353101167,22,754.0
globalvoices-v2018q4-doc-6f08d1a9d321d51b,0.9816987540305623,22,657.0
globalvoices-v2018q4-doc-71393c35323afd80,0.8112844656203658,10,272.0
globalvoices-v2018q4-doc-72811c0ac036432a,0.8660366054343663,41,1120.0
globalvoices-v2018q4-doc-72f5d247b5e541ae,0.9177683357325611,49,1005.0
globalvoices-v2018q4-doc-736e83537835ebd4,0.9576877495978883,8,254.0
