split,held_R_eta,held_R_T,held_C_K,pilot_R_eta,R_eta_upper95,R_T_lower95,C_K_upper95,pass_R_eta,pass_R_T,pass_C_K,pass_all
151,0.9424430751176233,1.3804575640542578,0.867058457260565,0.9493275547216095,0.949797453685807,1.3653121069096434,0.8720624448330814,True,True,True,True
152,0.9449240771841422,1.38414019309002,0.8679589700648943,0.9396959783480762,0.9518075400796542,1.368966147093944,0.8731940084740856,False,True,True,False
153,0.9431854307712387,1.3862392264771974,0.8659891988894156,0.9466831769037597,0.9503149250726676,1.3715662103065493,0.8714388132248668,False,True,True,False
154,0.9434164363369082,1.3810669828097213,0.8651163589228538,0.9455788284725718,0.9502093750348906,1.3661324529779757,0.869812442586637,False,True,True,False
155,0.9424819062765611,1.3864925662273677,0.867493597817836,0.9498143131768687,0.9494981565978577,1.3714888858123124,0.8726154212610254,True,True,True,True
156,0.9419569654912658,1.3898655032836795,0.8658234647374297,0.9517379808425896,0.9489574395212327,1.3743080527052192,0.8709047122557282,True,True,True,True
157,0.9419663782348279,1.3900216844878261,0.8677259843171332,0.9522584171207654,0.949084540946384,1.3752997041488988,0.8726213633349953,True,True,True,True
158,0.9462226771909193,1.3832623685020708,0.8668374417335069,0.9345929272137152,0.9531601492180095,1.3679239443890727,0.8717176716258332,False,True,True,False
159,0.9477688437093951,1.3836361255501215,0.8656933826010386,0.9268721723388548,0.9544681211407836,1.3682870429180076,0.8704448498568746,False,True,True,False
160,0.9443100554757162,1.3814290769719835,0.8703563799301829,0.9426241058085609,0.9514016616392497,1.36564002723094,0.8755481418800707,False,True,True,False
161,0.9455577217666311,1.395281492697137,0.8655135563358489,0.9371892869147916,0.9527139345391242,1.381037009815791,0.8713483981645266,False,True,True,False
162,0.9414634372991557,1.382844662972198,0.8672004324178237,0.9535469753573282,0.9479057047675449,1.367706136601294,0.8723787532728261,True,True,True,True
163,0.9434090682812833,1.3880165024012512,0.8664777624094542,0.9458539984955306,0.9502776827438277,1.3723016505368792,0.8717280094677596,False,True,True,False
164,0.9449743514140729,1.3889699358703353,0.8662551175701455,0.9399325257391038,0.951763714489151,1.3732297367689292,0.8711137693197644,False,True,True,False
165,0.940396772974879,1.3881929545297251,0.8683443015255758,0.9589021963471738,0.9473007012073693,1.37331537127626,0.873655043126359,True,True,True,True
166,0.9435862363474095,1.3901177557146156,0.8697970301963259,0.9451974648328113,0.9508016870019167,1.3754505463096474,0.8750996265243242,False,True,True,False
167,0.9441456090911675,1.3858640339023984,0.8678931361688179,0.9428370511015556,0.9517027304533926,1.3708258348601552,0.8734395602836169,False,True,True,False
168,0.9432792980067114,1.3839320600335563,0.8688998314331504,0.9466325945768872,0.9506377720442224,1.3677455366012727,0.8743175144729736,False,True,True,False
