point_R_T,point_R_B,point_R_eta,point_C_K,R_T_lower95,R_B_ci90_low,R_B_ci90_high,R_eta_upper95,C_K_upper95,R_T_se,R_B_se,R_eta_se,C_K_se
1.3755662279141467,1.2919283480107717,0.9391974895820173,0.8818204937005125,1.3596954109757287,1.2779998088220759,1.3059634711576844,0.9460023224650621,0.888586158611133,0.00966957732537831,0.008387933608369482,0.004009117691131195,0.004082839936059333
1.3575325122376705,1.2809378259710245,0.9435780096784627,0.8995818237298917,1.339622701668475,1.26595792027361,1.29497346151025,0.950451336490101,0.9080849938664755,0.010718544077492892,0.00886213496919444,0.004181711440934796,0.005058595688173956
1.3690809634275567,1.2886832332336136,0.9412761316959197,0.884181724618339,1.3515788091357206,1.274520834480948,1.303440279713213,0.9481606909420232,0.8914014767346442,0.010510829224232939,0.008820657356445247,0.004144240004714553,0.004137151879652112
1.3750652579241764,1.2986847993147907,0.9444532118245129,0.8953662857969338,1.3550287240985368,1.2822642019201476,1.3148246799334475,0.951841240524222,0.9056999704566068,0.012276598835048315,0.009973365242430185,0.004558349299200635,0.0062689416135359366
1.3601261125321262,1.2780031008473052,0.9396210315145455,0.8936186524758727,1.34124179871861,1.262512778689654,1.2942042128012985,0.9462274925118573,0.9024824549942188,0.011420819975863132,0.009463430665966086,0.00398955602906498,0.005317535737530985
1.3680036325109732,1.2744142886207444,0.9315869185826317,0.8851035581518852,1.3510342687092145,1.2607412356799517,1.2883075853730472,0.9381953142909467,0.8921954484985005,0.010364966383394179,0.008527515283123857,0.004088994236628886,0.004067269452644497
1.3694394991913057,1.2877140089909351,0.9403219417516204,0.8849997026110747,1.3520438851174819,1.2726877281618512,1.302417515279525,0.9466637733748857,0.8929458418678505,0.010515948881192482,0.008975698314922412,0.003925261020171457,0.004431641277334877
1.3720042809994228,1.2954500122072488,0.9442026020965409,0.8897823991635764,1.3540375815096783,1.280849900870336,1.309298529910013,0.9502133213823368,0.8980023795101965,0.010584947100348616,0.008621247321976359,0.0037141941612900183,0.0049653989522070435
1.3606485321975559,1.2726481104537828,0.9353246487528668,0.8894768211619221,1.3414591259350952,1.257695960411476,1.2875855796456972,0.9419044811680607,0.8977195456887309,0.011073004917743419,0.009174258521158711,0.004054364731244,0.004934914749326373
1.3484087996582657,1.2703164182349773,0.9420855296679466,0.898243113029475,1.3294911544381696,1.2548541879134212,1.2864706152627676,0.9485946103607688,0.9083762114432808,0.011365235332758112,0.009645742392101387,0.003997387335180139,0.005862997341024533
1.3653671804170444,1.2866528280075358,0.9423493155991447,0.8854046180867926,1.3470978353722338,1.2714856047335297,1.301469813572064,0.9485949758125174,0.8929222012728469,0.01088912970370881,0.009369336005572337,0.003956652601254297,0.0043552709022238265
1.386936107745363,1.2931754546627756,0.9323972801926637,0.8846262080667991,1.3692494123740035,1.2784920137013935,1.3081826200759306,0.9389766441897672,0.8924860409291161,0.010812419918908623,0.008942574921008533,0.003888493838191116,0.004731821037133453
1.356486744577327,1.2832572286562711,0.9460153103494765,0.8917634635691658,1.3394659997685896,1.2681433446955137,1.2986816433640471,0.9521320966691248,0.9000269559392313,0.010561439915568013,0.00939121547785955,0.0037615363575463556,0.005165866543149577
1.3720487498087743,1.2880418646551928,0.9387726673958999,0.8882171483789443,1.3549836383209866,1.273551332737177,1.303018857959091,0.9452312493135546,0.8955127074334404,0.010321466465511466,0.008844260000365487,0.003964128127664336,0.004401560726217214
1.3607145406524377,1.2788784720058763,0.9398580185618342,0.8849208951374226,1.3451165995723937,1.2654908271766028,1.2921397843203783,0.9462181080880573,0.8915524730669065,0.009751230078928102,0.008141449380070408,0.003933630636170488,0.0039378498547109194
1.3703172071593124,1.2894206556848904,0.9409650911104578,0.8864044900228898,1.3526749420585094,1.2755960362622822,1.3037394165311553,0.9475191043971767,0.8947588617117884,0.01046664540563936,0.008733530181581885,0.004100701163967436,0.004887553819768337
1.3684278087347201,1.2805412639830518,0.9357755343828256,0.8910449924955656,1.350905413075998,1.2668666708418912,1.2946633186823853,0.9419223125850633,0.8992645963425557,0.010762229522201327,0.008442245794670457,0.003854873737068557,0.004670605682445829
1.3535047361299053,1.2847536269407493,0.9492051210801545,0.8912572093808597,1.3367238433805289,1.2704708359353392,1.298678851364965,0.9556232911628031,0.8986062088087943,0.010002445079197082,0.00878221870867681,0.003983863892845198,0.004191701834896562
1.3706953381598828,1.2878042735099136,0.9395262664559376,0.8864974143985018,1.3517929866212852,1.2728621918502079,1.302044696338078,0.9452444882388443,0.8950296237924492,0.010975051862264815,0.008960078144587403,0.0034875773499546564,0.00507241765102958
1.3752773882014593,1.2971901648841837,0.9432207466019671,0.8828032219755254,1.357646038362467,1.28231989212553,1.3119015532608005,0.9507105927171953,0.8898008995444479,0.010318903988417548,0.00901588458968262,0.004351105216345784,0.004079329591903495
1.3641526871154162,1.278727429895615,0.9373785221942875,0.8896883213775775,1.3462511457043396,1.2638910000523211,1.293182716699346,0.9434594408898607,0.8987357104084188,0.011339642737750802,0.00893309461153317,0.0038466217242494735,0.00549508774062604
1.3769564083643566,1.2936777152794656,0.9395197316494462,0.8827039615768946,1.3612421547422144,1.2803228021015456,1.3079780116328545,0.9461027149714276,0.889546359374402,0.009601969004813376,0.008515557143285137,0.004022566324137809,0.003950851456577612
1.3414979955021022,1.277697493412189,0.9524408517166411,0.8864982324428733,1.3229378000270693,1.2618369536207088,1.292248735160491,0.9592373939039596,0.8953996631861731,0.010936111332119955,0.009276771696103572,0.003948085819313232,0.00503225750813848
1.3688378952747036,1.2894443295151814,0.9419992929523703,0.8874711551513507,1.351177788324564,1.2748810921564193,1.304590946575724,0.9483149758266756,0.8952930051691143,0.010440957764084945,0.009058343707453653,0.0037355793212451366,0.004573940644263576
1.3757244004752551,1.2998971304768987,0.9448819327678122,0.8790059265460795,1.3591103286033106,1.2855620500213873,1.314489332100107,0.9513689103640924,0.8859742528065333,0.01001260438694415,0.008976481068477055,0.003888518211732136,0.004098612253967967
1.3838525007163283,1.303691256874344,0.9420738526681924,0.8870333905194926,1.368103926271725,1.2895626263033784,1.3177035302423865,0.9488678920039392,0.8939092469112173,0.009405983750566022,0.008565157361085068,0.003951382406058775,0.004070461560060728
1.3561111693515508,1.2668705838346344,0.9341937537764042,0.8897129874982285,1.33817825206984,1.252413942688688,1.2817720240858888,0.9402176436834199,0.8981759805281191,0.011262235663915527,0.009044114956543137,0.003739074316676982,0.004982820686907867
1.3758065823353014,1.295871819702739,0.9418997091169017,0.8863004014899537,1.3575948122263755,1.2807259280224408,1.3106580215369887,0.9488796030106167,0.89468309656275,0.010803969175169778,0.009183850568648243,0.004234398749934424,0.0049675749399040224
1.3721427210819563,1.298433173600388,0.9462814280547673,0.8856834223392579,1.3573569754880943,1.2837798083826002,1.3130815307863075,0.9531223067861628,0.8920484517637718,0.009442471554611446,0.008850438278493787,0.0042590991765553855,0.0038518101721523243
1.3657419753487918,1.2801578941012557,0.9373351022431019,0.8840629405265363,1.3477315227840745,1.2651829616217731,1.2952403381444573,0.943867203579916,0.8913683987662169,0.010841245065712093,0.009102231764929785,0.003826924094734048,0.004375788360257968
1.3607355167883297,1.285805023357686,0.9449338298984816,0.8850055637580696,1.3445670164287866,1.2710840310808758,1.300356037554631,0.9516407165196877,0.8911244166151112,0.00957899859760323,0.00875702957429619,0.00396720732000011,0.003812229868750716
1.385237243829182,1.3008214056698324,0.9390603750112864,0.8855387813522355,1.3683993768369616,1.2857659647758435,1.3141828105520688,0.9452922462994989,0.893025448048468,0.009888973855314048,0.008478844837564607,0.0037654195749076873,0.004398505254647569
1.343849408843769,1.2683970096932529,0.9438535310177095,0.8979241981471447,1.323577371507374,1.2516435567461053,1.2845664531580252,0.9505667466034017,0.9079154115841219,0.011949459000174264,0.009698181449223797,0.003958163192690386,0.005753132377839195
1.3526566891052871,1.272861859485219,0.9410088086188017,0.8878932827331146,1.3323916135543348,1.2567998448658215,1.288356310913811,0.9481468992474315,0.8960933853343296,0.011390842375325345,0.009332058241309588,0.004147354285439326,0.004883116388402877
1.3499929384515437,1.2781883919303605,0.9468111688024503,0.8904544104046969,1.3324864004267352,1.2628091216037518,1.2935118858349781,0.9529018621652967,0.8986261945398035,0.010607294202600903,0.009478014341676052,0.003742725716700535,0.0049144569268179785
1.3556828104858591,1.2836081810423723,0.9468351823258302,0.8875806797916018,1.3392713614385217,1.2699829936081455,1.2978273454958047,0.9532825999247195,0.8943331089005206,0.009842908181164829,0.008635974971590172,0.0038668051245541544,0.0040911380526920645
1.3626051020651215,1.2858534667423474,0.9436728695596018,0.8856593466622965,1.3444726546866488,1.2706169378103078,1.3003775733906104,0.9500771269368253,0.8942655062580789,0.010350862575593209,0.008998426237648611,0.003950689654511817,0.005037460658071266
1.3569242632352587,1.2856270367490066,0.9474567384355991,0.8946875388467618,1.339341327631542,1.2710825714667158,1.3001294736585376,0.9547646824556372,0.9030089028734258,0.010415685012306235,0.008774112677948457,0.0043481184401976064,0.004854295747489693
1.3780590277551605,1.2887074349247074,0.9351612731887068,0.8857398102674878,1.360033820262752,1.274387136364112,1.30370812168933,0.9418633634317249,0.892861329554391,0.010850186304800941,0.008885154614541783,0.004010851729683723,0.004373222985618981
1.3780351602895553,1.29664747133206,0.9409393233911434,0.8852691704045489,1.3614880650989825,1.2826037845445928,1.3104873583371548,0.9475537846233605,0.8924348592340592,0.010246876456072876,0.008710804121815754,0.004020028991443841,0.004248940051823109
1.3735298412734074,1.294268845413034,0.9422939396883506,0.881645988893705,1.3580048605146449,1.280583348892682,1.3079011171612114,0.948708256950871,0.8879615787626686,0.009826357414915441,0.008284980864610351,0.0037604870202635698,0.003803703925010775
1.357825128581925,1.2904066124450866,0.9503481599230319,0.8912992249685798,1.3421925214534438,1.276522325474549,1.304193358193177,0.9567126840724833,0.8998446866170393,0.009342077846300272,0.008374533677093085,0.0038868854796872414,0.005043518227461465
1.3738149973929943,1.286005580401445,0.9360835213196974,0.8803408850763584,1.3573762528900644,1.2722312985224737,1.3004902196553176,0.9423426002424883,0.8867342831959241,0.010139619034155674,0.008482123349930723,0.0037525731005949984,0.0036785707812633708
1.375583141762452,1.3013554130042346,0.9460390822592418,0.8797372455346002,1.3597411337387726,1.2868625643911111,1.3156056838634016,0.9530052530797354,0.885221263599399,0.00941602688546471,0.008729136311587319,0.004125691499404532,0.0033497535531386955
1.3484308071334583,1.273106300198296,0.9441391382214934,0.8938930251678618,1.3316234010782517,1.2594817666552938,1.28704793360211,0.9504462439415099,0.9029724051868867,0.010027773470335084,0.008365968141066375,0.00362589128780079,0.005128345472907715
1.3686405431532565,1.291181963534729,0.943404731062498,0.8853454010857692,1.3527127181167093,1.2771863728395159,1.3054941027925822,0.9498031085800793,0.8928130969505352,0.0098712457061107,0.008578147652447646,0.003806373080653205,0.00443681915174309
1.3821506439140672,1.295739392832173,0.9374805839997375,0.8856568358972418,1.3657024805047764,1.281690948704466,1.3097881390457684,0.9438163524497825,0.8933400124193429,0.010170598529075313,0.008542871679748239,0.003742257062925824,0.004625073641777108
1.376420548946634,1.2813979486443658,0.9309639772706182,0.8885835809692697,1.359479303349393,1.2674577379065504,1.2953252764048016,0.9370221652396383,0.8967153577828205,0.010555828626386047,0.008411174439800554,0.0037130700923222017,0.004932569135796573
1.3767233009708737,1.3012183050321988,0.9451560121881948,0.891587771724758,1.3600838536314759,1.2867346137499163,1.315656368755435,0.9518964040699344,0.8992855691677212,0.010122784295710835,0.008671353162931328,0.003987132006853626,0.004608796431580134
1.367795525642241,1.2888668796660026,0.9422949962208877,0.8890419384740668,1.3521303474368334,1.2751884155698316,1.3006897323645534,0.9488805620586431,0.8956264728475828,0.009347197196839815,0.00785724165966548,0.004038852726228262,0.003958419610909325
1.3689264594108597,1.291956159715812,0.9437732398509026,0.8918621237563873,1.3515522939541347,1.2771904399379306,1.307558262719492,0.950626861040405,0.9006461440733421,0.010924917889085232,0.009261372884507594,0.004150002832987091,0.005211955067989227
1.3829799876408233,1.2930025818791742,0.9349394737698711,0.882234156820623,1.3659269237876257,1.2792405717496937,1.3076273232098492,0.9411759299660435,0.8885049752440036,0.010265554106360522,0.00842021885432668,0.0036874216156674087,0.003766684820698581
1.3562498074375327,1.2802086858861828,0.9439328056421845,0.8919349928895633,1.3363292803059703,1.2643662899729584,1.296426378934942,0.9513600233443029,0.9006201587363776,0.011749186271456604,0.009640144014415673,0.004265836203585769,0.005006838474211078
1.3690166000666941,1.2848481223684514,0.9385190232944273,0.889858638570532,1.3529060314889232,1.2710704106996766,1.2991429781550385,0.9447082167017972,0.8983008190025848,0.010232887094083338,0.008437252706756536,0.003938960990513296,0.004799059085629113
1.373842545439731,1.2824128928311935,0.9334496861288619,0.8814555929762131,1.357901149923343,1.2688917595560862,1.296067285681011,0.9395987239293428,0.8885403955694261,0.009782195155048133,0.008362492793607356,0.0038285343449036714,0.004131533631862144
1.3584728381057143,1.285528342711267,0.9463040457281702,0.891715447291621,1.339672673523966,1.2692514401344401,1.3011176608202584,0.9522256215070106,0.9022094087370138,0.01148334492638132,0.009432164848996725,0.003590417846070841,0.006004736987359361
1.3674427214263962,1.291697657964907,0.9446082367658672,0.8862960520857441,1.3504300050283513,1.2766214274455212,1.3057920216400813,0.951262941296867,0.8943566949625567,0.010311607060156729,0.008834110069927773,0.0041435908566508535,0.00476389290619369
1.3528001400070004,1.269046053246772,0.9380883514989915,0.888597092674765,1.3361173874242678,1.2556548509689966,1.2829378022802052,0.9446313901312322,0.8969097829712174,0.010404906067584416,0.008332927329847783,0.003911705702169704,0.004931248131466766
1.368666551787656,1.2783940388513015,0.9340434579785363,0.8888541571697122,1.3522892489524156,1.2643599702647426,1.292987723548842,0.9399487879561946,0.8960454867551172,0.010665170993472004,0.008709532803190135,0.0036031985059070916,0.004399522222120568
1.3793218225942132,1.302439635870528,0.9442608784517843,0.8839830638615274,1.3616730959910028,1.2873182124413238,1.318099625627336,0.9507446901751682,0.8922408632195908,0.010437008565749509,0.009351311101415787,0.004074073955717426,0.004923122539903408
1.3728866306383947,1.2881854996399036,0.9383043514968858,0.8776575107782578,1.3567047879644314,1.2738892391548775,1.302548561895741,0.9443902239965115,0.8834679648461282,0.00990008104236162,0.008872078465348888,0.0036037017025238338,0.003449542119879522
1.372863461264089,1.2946088961144926,0.9429990182144244,0.8849559361489857,1.3554926744591382,1.280683485125216,1.3087503228074437,0.9495899908758053,0.8913524809202795,0.010478012592331392,0.008708146105527212,0.0040696489523915635,0.003895249628953487
1.3680621582176142,1.288958919847942,0.9421786225907073,0.8884703236773143,1.3497606510682507,1.273068569934277,1.304174683778026,0.9496975031795334,0.8969909966771713,0.01096170527820372,0.009398655752039803,0.00440914071219597,0.0049582646196368345
1.3839097504779645,1.3053491165714504,0.9432328344537052,0.8779019053058984,1.3682128682765269,1.2908656870418518,1.318988107051241,0.9495249650816274,0.8830713343840554,0.009386477542425328,0.008601197575233034,0.0038859317709309016,0.0031986091389601856
1.360473290992934,1.2804879874003272,0.9412077369529026,0.8877600175169695,1.3438290076260357,1.2661095072605215,1.295164316115367,0.9474987174045544,0.8960129101617608,0.010586939290683585,0.008711965108647374,0.0037891381007831557,0.004840141018597628
1.3810184551068658,1.2974766360828784,0.9395070944091599,0.8806521720381886,1.3649961307611784,1.2832954505174103,1.3121591282515894,0.9459675407335745,0.8863945045618247,0.00995942620354462,0.008868042035762481,0.003955270403887423,0.0035390731003592506
1.3711550201934817,1.2972543170207376,0.9461033201320183,0.8863810530912454,1.3553863504609442,1.2823724638779541,1.3119978214731267,0.9523122606975495,0.8936678031920766,0.009584191675133247,0.009007952283121281,0.003934067613630399,0.004314102213111402
